%EASTINGS(m) NORTHINGS(m)
%EuropeCoastLine (1:2,000000)
nan nan
1162962.7 -637519.2
1162991.8 -637978.3
1162902.8 -638451.0
1162645.7 -638711.9
1162342.3 -638779.9
1161975.5 -638921.3
1161499.2 -638943.2
1160988.1 -638869.9
1160484.5 -638861.9
1160110.2 -638937.9
1159719.9 -639081.9
1159458.8 -639310.0
1159279.8 -639627.8
1159084.8 -640013.5
1158960.5 -640391.0
1158816.4 -640803.8
1158668.5 -641184.1
1158469.5 -641537.2
1158294.2 -641887.5
1157954.6 -642058.6
1157583.9 -642167.1
1157158.5 -642215.8
1156791.5 -642356.9
1156482.9 -642590.3
1156303.8 -642907.9
1156135.7 -643323.4
1155929.1 -643611.2
1155448.9 -643599.9
1155012.2 -643550.7
1154544.5 -643438.9
1154036.9 -643397.7
1153666.1 -643506.0
1153330.0 -643709.4
1152986.6 -643847.5
1152674.2 -644048.2
1152389.1 -644278.7
1152209.6 -644596.2
1152218.0 -645090.5
1152440.4 -645362.3
1152753.8 -645590.8
1152976.4 -645862.8
1153139.0 -646240.5
1152994.3 -646653.1
1152783.8 -646908.2
1152533.3 -647233.8
1152248.0 -647464.2
1151927.9 -647599.6
1151474.8 -647618.0
1151272.3 -647310.8
1151335.2 -646808.5
1151429.0 -646368.6
1151573.8 -645956.0
1151458.5 -645573.0
1151034.3 -645422.9
1150612.4 -645503.8
1150296.1 -645671.7
1150038.2 -645932.1
1149749.3 -646129.8
1149327.3 -646210.6
1148870.7 -646196.2
1148448.7 -646276.9
1148077.7 -646384.8
1147765.1 -646585.2
1147370.5 -646695.8
1146948.5 -646776.4
1146480.8 -646664.0
1145996.9 -646619.5
1145571.3 -646667.4
1145234.8 -646870.4
1144918.4 -647037.9
1144602.0 -647205.6
1144316.6 -647435.7
1144065.8 -647760.9
1143909.5 -648075.5
1143709.6 -648428.0
1143560.6 -648807.8
1143415.2 -649220.2
1143293.5 -649629.9
1143144.4 -650009.6
1142964.4 -650326.8
1142713.4 -650652.1
1142451.3 -650879.4
1142080.1 -650986.9
1141708.8 -651094.5
1141286.5 -651174.6
1140860.6 -651222.2
1140462.0 -651299.8
1140094.4 -651439.8
1139668.5 -651487.3
1139300.8 -651627.3
1138960.4 -651797.2
1138643.6 -651964.6
1138303.2 -652134.4
1138095.6 -652421.5
1137895.2 -652773.8
1137773.0 -653183.4
1137599.9 -653565.6
1137446.7 -653912.5
1137277.1 -654327.3
1137127.6 -654706.9
1137056.3 -655143.8
1136964.9 -655615.9
1136849.8 -656090.6
1136873.1 -656516.9
1136943.8 -656938.1
1136947.0 -657399.7
1137021.3 -657853.4
1137088.4 -658241.9
1137135.4 -658665.7
1137206.0 -659086.7
1137253.0 -659510.5
1137371.0 -659926.4
1137438.1 -660314.9
1137512.4 -660768.6
1137579.5 -661157.1
1137582.7 -661618.7
1137653.3 -662039.9
1137660.1 -662534.1
1137663.3 -662995.7
1137537.1 -663372.6
1137281.6 -663664.9
1136858.5 -663744.7
1136457.6 -663591.1
1136303.0 -663278.2
1136188.7 -662894.9
1136118.1 -662473.9
1135784.8 -662279.7
1135320.1 -662199.1
1134897.2 -662278.8
1134525.2 -662385.9
1134122.3 -662430.3
1133730.2 -662572.5
1133358.3 -662679.5
1133044.4 -662879.0
1132672.4 -662986.0
1132334.9 -663188.1
1132068.3 -663382.4
1131812.6 -663674.3
1131604.3 -663961.1
1131317.6 -664190.5
1130980.0 -664392.6
1130713.3 -664586.8
1130399.4 -664786.2
1130058.1 -664955.5
1129720.4 -665157.5
1129317.4 -665201.6
1128808.8 -665158.4
1128408.2 -665004.3
1127963.7 -664887.9
1127571.4 -665029.7
1127202.8 -665168.9
1126916.0 -665398.1
1126649.3 -665592.2
1126366.0 -665853.9
1126079.2 -666083.2
1125765.0 -666282.2
1125443.7 -666416.1
1125129.5 -666615.3
1124764.3 -666787.0
1124450.1 -666986.0
1124183.3 -667179.9
1123954.4 -667501.6
1123718.3 -667758.1
1123540.3 -668107.2
1123389.4 -668486.3
1123214.9 -668868.1
1123064.0 -669247.2
1123241.7 -669557.8
1123466.8 -669863.1
1123752.5 -670063.0
1123977.6 -670368.3
1124043.8 -670756.9
1123974.7 -671226.1
1123663.7 -671457.7
1123403.8 -671716.8
1123167.5 -671973.2
1123020.0 -672385.0
1122923.5 -672824.1
1122799.8 -673233.3
1122550.2 -673590.0
1122313.9 -673846.5
1122135.5 -674195.5
1121988.0 -674607.1
1121891.3 -675046.3
1121896.7 -675540.3
1121891.4 -675936.7
1121771.0 -676378.3
1121619.8 -676757.4
1121414.0 -677076.4
1121180.9 -677365.3
1120835.3 -677501.5
1120465.8 -677640.3
1120150.9 -677839.1
1119832.5 -678005.2
1119626.6 -678324.2
1119651.9 -678783.1
1119657.1 -679277.2
1119560.2 -679716.2
1119296.1 -679942.5
1118923.1 -680048.4
1118390.0 -680006.8
1117884.1 -679995.1
1117483.1 -679840.3
1116973.8 -679796.0
1116764.2 -680082.2
1116697.8 -680583.9
1116600.6 -681022.9
1116316.2 -681284.2
1115997.5 -681450.1
1115488.2 -681405.7
1115033.3 -681421.4
1114554.7 -681439.4
1114127.0 -681485.1
1113726.6 -681560.8
1113299.0 -681606.4
1112929.3 -681744.7
1112556.1 -681850.3
1112182.9 -681955.9
1111782.4 -682031.5
1111354.8 -682076.9
1110998.4 -682114.8
1110645.1 -681954.5
1110420.4 -681648.8
1110111.1 -681450.8
1109842.4 -681182.7
1109485.7 -680989.8
1109088.3 -680867.1
1108579.2 -680822.1
1108209.4 -680960.2
1107890.7 -681125.7
1107653.5 -681381.5
1107477.6 -681762.7
1107325.4 -682141.2
1107227.7 -682580.1
1107197.7 -682978.7
1107201.8 -683472.8
1107158.4 -683971.7
1107159.0 -684433.1
1107061.2 -684871.9
1107061.8 -685333.3
1107089.6 -685824.7
1107090.2 -686286.0
1106992.2 -686724.7
1106843.3 -687136.0
1106663.7 -687484.5
1106565.7 -687923.3
1106634.0 -688344.5
1106593.9 -688876.1
1106495.8 -689314.9
1106343.3 -689693.5
1106081.9 -689951.6
1105762.7 -690117.0
1105388.9 -690222.2
1105015.3 -690327.4
1104675.5 -690527.9
1104356.2 -690693.2
1104040.3 -690891.1
1103751.6 -691119.1
1103462.8 -691347.1
1103197.9 -691572.6
1102909.1 -691800.5
1102729.1 -692148.9
1102654.5 -692585.2
1102698.8 -693008.9
1102811.1 -693392.5
1102987.9 -693703.6
1103056.1 -694124.9
1103056.2 -694586.1
1102930.6 -694994.8
1102696.0 -695282.9
1102430.8 -695508.3
1102060.2 -695645.9
1101631.7 -695690.6
1101176.1 -695705.2
1100751.0 -695782.5
1100268.2 -695766.9
1099951.9 -695964.6
1099768.2 -696280.2
1099591.3 -696661.1
1099298.7 -696856.3
1099009.6 -697084.0
1098638.8 -697221.4
1098268.0 -697358.7
1097917.7 -697461.0
1097543.5 -697565.6
1097172.8 -697702.9
1096883.5 -697930.6
1096699.6 -698246.2
1096607.4 -698749.9
1096552.6 -699150.9
1096862.0 -699349.5
1097304.2 -699435.4
1097787.2 -699451.3
1098188.7 -699376.8
1098613.9 -699299.6
1098988.2 -699194.8
1099362.5 -699090.1
1099682.3 -698925.0
1099998.8 -698727.5
1100318.6 -698562.3
1100658.8 -698362.1
1101128.2 -698478.0
1101614.7 -698526.1
1102056.9 -698611.9
1102540.0 -698627.3
1102910.8 -698489.7
1103250.9 -698289.5
1103625.2 -698184.4
1103972.1 -698049.3
1104451.7 -698032.0
1104897.5 -698150.1
1105254.8 -698343.3
1105516.8 -698546.6
1105765.3 -698850.0
1105901.7 -699231.3
1105898.4 -699660.0
993124.3 -699887.7
992619.2 -699866.6
992244.6 -699965.2
967628.0 -699724.8
967634.3 -699231.9
967714.5 -698765.7
967956.6 -698515.4
968169.5 -698202.0
968438.1 -697982.4
968783.5 -697821.8
969102.3 -697630.8
969421.2 -697439.6
969742.7 -697281.0
970058.8 -697057.2
970271.5 -696743.8
970542.7 -696556.6
970861.5 -696365.4
971204.0 -696172.2
971522.7 -695980.9
971950.3 -695944.5
972351.4 -695877.5
972829.3 -695869.6
973336.5 -695924.7
973841.0 -695947.3
974348.2 -696002.4
974775.8 -695965.9
975123.8 -695837.6
975548.6 -695768.3
975920.3 -695637.9
976315.8 -695505.5
976719.6 -695470.8
977171.0 -695432.0
977636.4 -695556.2
978075.2 -695649.8
978455.3 -695617.1
978773.8 -695425.4
979015.5 -695174.7
979251.5 -694858.9
979519.7 -694638.8
979787.9 -694418.6
980106.3 -694226.9
980475.0 -694063.7
980796.3 -693904.5
981114.7 -693712.8
981382.7 -693492.6
981656.5 -693337.6
981874.2 -693088.8
982030.3 -692681.2
982109.4 -692214.7
982318.5 -691868.2
982527.7 -691521.7
982792.8 -691268.8
983004.7 -690954.8
983272.6 -690734.5
983564.3 -690512.1
983853.0 -690257.2
984174.0 -690097.8
984494.9 -689938.5
984783.7 -689683.4
984918.5 -689310.5
984789.5 -688927.6
984574.0 -688650.9
984489.5 -688231.3
984541.8 -687734.2
984546.6 -687241.3
984530.5 -686782.9
984404.3 -686432.7
984165.2 -686158.1
983839.7 -685989.5
983465.8 -686087.7
983091.9 -686185.9
982773.9 -686377.8
982432.2 -686571.8
982111.4 -686731.0
981843.7 -686951.2
981578.7 -687204.2
981313.8 -687457.0
981048.9 -687709.9
980730.8 -687901.5
980439.2 -688123.9
980171.4 -688344.1
979853.2 -688535.7
979532.3 -688694.9
979107.9 -688764.4
978714.1 -688634.2
978404.0 -688365.5
978123.3 -688160.0
977884.4 -687885.1
977600.9 -687646.9
977317.4 -687408.7
976968.4 -687241.8
976574.7 -687111.5
976246.7 -686909.9
975963.2 -686671.7
975590.5 -686506.8
975375.6 -686229.7
975202.4 -685883.5
975016.8 -685669.7
974846.5 -685355.9
974762.6 -684936.4
974918.8 -684529.1
975186.5 -684309.0
975422.2 -683993.3
975557.4 -683620.5
975497.2 -683198.9
975213.9 -682960.7
974820.6 -682830.3
974382.5 -682736.7
973852.6 -682683.7
973399.3 -682689.7
972975.3 -682758.9
972551.3 -682828.0
972098.1 -682834.0
971746.6 -682634.2
971353.4 -682503.7
970958.7 -682635.9
970637.9 -682794.6
970266.9 -682924.8
969873.6 -682794.1
969548.8 -682624.9
969197.5 -682425.1
968956.4 -682117.3
968676.2 -681911.4
968503.5 -681565.0
968288.9 -681287.7
968095.3 -680976.0
967770.6 -680806.7
967396.9 -680904.0
967134.6 -681188.9
967025.6 -681592.1
967016.9 -682052.3
967100.3 -682471.9
967157.1 -682860.9
967264.2 -683278.6
967389.4 -683629.1
967336.0 -684125.9
967100.0 -684441.3
966829.3 -684628.4
966646.3 -685005.0
966510.6 -685377.5
966459.9 -685907.0
966466.4 -686267.5
966704.8 -686542.7
966943.1 -686817.9
967089.3 -687133.7
967128.0 -687589.9
967166.6 -688046.2
967223.4 -688435.3
967417.1 -688747.1
967744.9 -688949.1
968206.9 -689041.2
968618.6 -689104.8
969093.2 -689064.5
969597.0 -689087.3
969925.0 -689289.2
970234.7 -689558.3
970446.7 -689802.8
970711.9 -690108.5
970923.9 -690353.1
971049.4 -690703.5
971180.4 -691119.0
971237.5 -691508.1
971297.3 -691929.7
971357.1 -692351.4
971417.0 -692773.0
971432.1 -693231.2
971447.2 -693689.5
971438.6 -694149.8
971358.6 -694616.2
971119.6 -694899.1
970880.5 -695182.1
970612.1 -695401.9
970591.1 -695436.4
970380.1 -695487.3
970061.4 -695678.4
969739.9 -695837.0
969421.2 -696028.2
969099.6 -696186.7
968807.3 -696408.4
968488.5 -696599.5
968063.7 -696668.3
967609.5 -696673.9
967147.2 -696581.7
966828.4 -696772.6
966506.8 -696931.1
966238.1 -697150.7
965895.5 -697343.7
965470.6 -697412.3
965058.5 -697348.5
964775.2 -697109.7
964605.3 -696795.9
